ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
259,24d09m58.7s,15d47m53.1s,17,16,17,-90,2,2,2.78,24.166305555555553,15.798083333333333
260,24d09m59.8s,15d45m51.3s,16,14,15,0,4,98,3.54,24.16661111111111,15.76425
261,24d09m59.8s,15d48m18.0s,74,52,66,0,2,191,3.86,24.16661111111111,15.805000000000001
262,24d10m0.1s,15d45m51.8s,17,17,17,0,4,93,3.51,24.166694444444445,15.764388888888888
263,24d10m0.2s,15d46m30.8s,40,35,39,0,2,40,1.86,24.166722222222223,15.775222222222222
264,24d10m0.4s,15d46m37.2s,39,31,37,0,2,-6,1.64,24.166777777777778,15.777000000000001
265,24d10m0.4s,15d47m56.0s,24,19,22,0,2,12,2.87,24.166777777777778,15.79888888888889
266,24d10m0.5s,15d46m4.3s,81,81,81,0,4,-15,2.95,24.166805555555555,15.767861111111111
267,24d10m0.6s,15d48m1.7s,26,22,24,0,2,53,3.11,24.166833333333333,15.800472222222224
268,24d10m0.7s,15d47m55.4s,22,18,21,0,2,8,2.84,24.166861111111114,15.798722222222223
269,24d10m0.8s,15d45m54.8s,40,38,39,0,4,66,3.36,24.16688888888889,15.765222222222222
270,24d10m1.4s,15d48m32.3s,57,57,57,0,1,-168,4.49,24.167055555555557,15.808972222222224
271,24d10m1.4s,15d47m55.9s,29,27,29,-90,2,6,2.85,24.167055555555557,15.79886111111111
272,24d10m1.6s,15d47m39.1s,78,76,77,0,2,-112,2.13,24.16711111111111,15.794194444444445
273,24d10m1.7s,15d47m58.9s,35,20,30,-70,2,26,2.97,24.16713888888889,15.799694444444444
274,24d10m2.0s,15d46m32.8s,42,39,41,0,2,16,1.74,24.16722222222222,15.775777777777778
275,24d10m2.2s,15d45m43.6s,117,113,116,-90,4,160,3.85,24.16727777777778,15.76211111111111
276,24d10m2.6s,15d45m53.6s,66,58,63,-90,4,71,3.39,24.16738888888889,15.764888888888889
277,24d10m2.6s,15d48m23.2s,22,19,21,0,1,-194,4.06,24.16738888888889,15.806444444444445
278,24d10m2.8s,15d48m2.0s,40,32,37,-90,2,46,3.09,24.167444444444445,15.800555555555556
279,24d10m3.2s,15d48m22.2s,24,21,23,0,1,-197,4.0,24.167555555555555,15.806166666666668
280,24d10m3.2s,15d46m35.3s,27,27,27,-90,2,-7,1.61,24.167555555555555,15.776472222222223
281,24d10m3.4s,15d48m23.2s,16,15,16,0,1,-189,4.05,24.167611111111114,15.806444444444445
282,24d10m3.4s,15d47m50.9s,18,17,17,0,2,-39,2.59,24.167611111111114,15.797472222222222
